timestamp,loss,is_anomaly,z,isZ,isIqr,isRoll
2026-02-10T12:40:46.604Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:02.531Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:02.601Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:02.907Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:30.731Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:30.765Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:30.947Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:59.418Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:42:59.507Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:43:23.398Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:43:23.514Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:43:23.518Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:47:21.126Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:47:29.552Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:47:39.577Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:47:49.622Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:47:59.585Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:48:09.576Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:48:19.587Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:48:29.657Z,0.079412,true,3.946374293678335,true,true,true
2026-02-10T12:48:39.675Z,0.021849,true,1.0003999759121984,false,true,false
2026-02-10T12:48:49.625Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:48:59.661Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:09.632Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:19.725Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:29.660Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:39.689Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:49.670Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:49:59.759Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:09.705Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:20.749Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:29.778Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:39.718Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:49.787Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:50:59.754Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:51:09.813Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:51:19.755Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:51:29.822Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:51:39.820Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:51:49.849Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:52:26.125Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:55:58.550Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:56:07.281Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:56:18.324Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:56:27.414Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:56:37.445Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:56:47.518Z,0.196516,true,9.939553532211518,true,true,true
2026-02-10T12:56:57.568Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:57:07.624Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:57:18.758Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:57:27.761Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:57:37.768Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:01.570Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:01.612Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:07.924Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:30.090Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:30.141Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:38.129Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:48.066Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:58:59.001Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:59:24.999Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:59:25.001Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T12:59:28.251Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:00:25.505Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:00:25.505Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:00:25.784Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:00:31.541Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:00:43.218Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:03:24.492Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:03:49.451Z,,false,0,false,false,false
2026-02-10T13:03:49.548Z,,false,0,false,false,false
2026-02-10T13:03:49.562Z,,false,0,false,false,false
2026-02-10T13:03:49.564Z,,false,0,false,false,false
2026-02-10T13:09:09.989Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:09:35.025Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:09:35.076Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T13:09:39.158Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:14:50.974Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:16:01.380Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:19:39.726Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:22:58.636Z,0.004845,true,0.1301648022885965,false,true,false
2026-02-10T14:24:38.974Z,0.266479,true,13.52013830357285,true,true,true
2026-02-10T14:26:54.788Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:28:10.414Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:29:29.674Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:31:09.640Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:32:45.450Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:34:44.634Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:35:55.034Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:37:10.386Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:39:11.379Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:40:55.498Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:42:31.034Z,0.17205,true,8.687426164658294,true,true,false
2026-02-10T14:45:05.808Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:47:16.685Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:48:51.855Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:51:17.980Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:52:52.599Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:55:05.455Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:56:35.841Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T14:58:32.303Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T15:00:13.845Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T15:01:32.178Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:10:16.954Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:11:06.932Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:11:56.570Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:12:46.585Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:13:36.728Z,0,false,-0.11779387897500916,false,false,false
2026-02-10T23:14:27.198Z,0,false,-0.11779387897500916,false,false,false
